UserID,FirstName,LastName,DateOfBirth,Sex,Street,City,LicensePlate,Married,NumberPets,Duration,Amount,InstallmentRatePercentage,ResidenceDuration,NumberExistingCredits,NumberPeopleMaintenance,OwnCar,ForeignWorker,EmploymentDuration,SavingsAccountBonds,BadCredit,Purpose,Property,Job,Housing,OtherDebtorsGuarantors,CreditHistory,CheckingAccountStatus,OtherInstallmentPlans
218-84-8180,Christopher,Gray,1953-09-02,M,503 Linda Locks,North Judithbury,395C,no,0.0,6,2104,4,4,2,1,no,yes,7.0,281.0,0,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
643-21-6917,Jennifer,Rocha,1999-09-30,F,42388 Burgess Meadow Suite 532,East Jill,012 PCY,yes,0.0,48,10712,2,2,1,1,yes,yes,2.0,0.0,1,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
520-14-4890,Kyle,Cruz,1973-03-01,M,480 Erin Plain Suite 514,West Michael,7-F0482,no,2.0,12,3773,2,3,1,2,yes,yes,4.0,0.0,0,Purpose.Education,Property.RealEstate,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
081-11-7963,Ryan,Romero,1975-10-17,M,52880 Burns Creek,North Judithbury,30Z J39,no,1.0,42,14188,2,4,1,2,yes,yes,4.0,0.0,0,Purpose.Furniture.Equipment,Property.Insurance,Job.SkilledEmployee,Housing.ForFree,OtherDebtorsGuarantors.Guarantor,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
463-16-4062,Robert,Spence,1969-05-15,M,78248 Brandt Plains,Ramirezstad,3-46578,no,0.0,24,8766,3,4,2,2,yes,yes,2.0,0.0,1,Purpose.NewCar,Property.Unknown,Job.SkilledEmployee,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.Delay,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
136-93-9356,Danny,Morgan,1986-10-15,M,301 Jeremy Bypass,North Judithbury,3CQ4738,no,2.0,36,16299,2,4,1,2,no,yes,1.0,574.0,0,Purpose.Education,Property.Unknown,Job.UnskilledResident,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
550-58-2297,Kenneth,Sanchez,1968-11-23,M,3116 Henderson Mountain Apt. 106,East Jill,KZD 333,no,2.0,24,5103,3,4,1,1,yes,yes,15.0,714.0,0,Purpose.Furniture.Equipment,Property.Insurance,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
169-49-0036,Javier,Ramirez,1986-10-28,M,78108 Tanya Terrace,New Roberttown,7F 7360N,no,1.0,36,12506,2,2,1,1,no,yes,3.0,0.0,0,Purpose.UsedCar,Property.CarOther,Job.Management.SelfEmp.HighlyQualified,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
083-24-1123,William,Baker,1961-06-10,M,6872 Kenneth Centers Apt. 500,North Judithbury,8PQ 208,no,0.0,12,5506,2,4,1,1,yes,yes,7.0,1348.0,0,Purpose.Radio.Television,Property.RealEstate,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
210-86-5148,Kurt,Leonard,1993-08-28,M,1939 Christine Manor,New Roberttown,85SS4,yes,0.0,30,9421,4,2,2,1,yes,yes,,0.0,1,Purpose.NewCar,Property.CarOther,Job.Management.SelfEmp.HighlyQualified,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
